Date,PS_incoming,PS_feed_A,PS_feed_B,PS_feed_TS,PS_feed_VS,FW_intake_new,FW_intake_old,FW_grit_light,FW_grit_heavy,FW_grit_out,Treated_FW,FW_Feed_A,FW_Feed_B,FW_Feed_TS,FW_Feed_VS,Dig_Feed_A,Dig_Feed_B,Dig_A_Temp,Dig_A_TS,Dig_A_VS,Dig_B_Temp,Dig_B_TS,Dig_B_VS,Dig_Dewater,Dig_DD_A,Dig_DD_B,Biogas_prod
2019.6.1,8,0,0,0.0571,0.4749,155.67,0,0,0,0,0,0,0,0.0866,0.8343,0,0,39.6,0.0328,0.6324,39.7,0.0318,0.6553,319,138,133,7276
2019.6.2,99,22,29,0.0571,0.4749,0,0,2,1.8,0,55.67,22,20,0.0866,0.8343,44,49,40.6,0.0328,0.6324,40.6,0.0318,0.6553,281,126,127,7192
2019.6.3,312,75,61,0.0571,0.4749,37.3,0,9.6,1.85,12.25,127.3,133,120,0.0866,0.8343,208,181,40.1,0.0328,0.6324,40.1,0.0318,0.6553,577,232,232,18123
2019.6.4,367,80,96,0.0788,0.7051,156.46,0,14.2,2.7,18.15,176.46,160,160,0.0850,0.8741,240,256,39.4,0.0352,0.5249,39.4,0.0354,0.5487,506,259,296,24325
2019.6.5,475,102,99,0.0788,0.7051,212.82,0,20.6,3,22.56,217.82,162,164,0.0850,0.8741,264,263,39.6,0.0352,0.5249,39.7,0.0354,0.5487,615,282,242,29453
2019.6.6,628,110,97,0.0788,0.7051,176.05,0,14.1,2.4,20.62,151.05,156,156,0.0850,0.8741,266,253,40.1,0.0352,0.5249,40,0.0354,0.5487,578,297,252,30925
2019.6.7,425,121,122,0.0788,0.7051,0,0,18.3,2.2,0,165,139,147,0.0850,0.8741,260,269,40,0.0352,0.5249,40,0.0354,0.5487,588,304,288,29649
2019.6.8,478,124,116,0.0788,0.7051,270.56,42.46,16.2,3.4,39.65,218.02,151,146,0.0850,0.8741,275,262,39.1,0.0352,0.5249,39.2,0.0354,0.5487,583,316,265,28700
2019.6.9,528,122,102,0.0788,0.7051,239.11,0,17.2,3.7,21.83,229.11,180,180,0.0850,0.8741,302,282,39.2,0.0352,0.5249,39.4,0.0354,0.5487,564,271,243,32119
2019.6.10,486,115,137,0.0550,0.7131,171.37,0,16,3.9,21.06,211.37,158,160,0.0835,0.8425,273,297,39.3,0.0352,0.5249,39.4,0.0354,0.5487,475,289,243,31153
2019.6.11,476,116,124,0.0532,0.7119,181.47,0,7,2,19.81,121.47,163,160,0.0835,0.8425,279,284,38.4,0.0356,0.5448,38.5,0.0354,0.5411,584,304,269,29476
2019.6.12,287,75,69,0.0532,0.7119,82.94,0,16.4,3.15,13.56,207.94,204,192,0.0835,0.8425,279,261,38,0.0356,0.5448,38.2,0.0354,0.5411,386,296,230,24074
2019.6.13,441,97,99,0.0532,0.7119,198.83,0,9.1,2.1,20.67,113.83,169,157,0.0835,0.8425,266,256,38.3,0.0356,0.5448,38.6,0.0354,0.5411,533,263,245,28315
2019.6.14,433,82,95,0.0532,0.7119,0,0,7.2,1.9,0,90,176,180,0.0835,0.8425,258,275,38.3,0.0356,0.5448,38.3,0.0354,0.5411,574,310,264,28647
2019.6.15,696,55,78,0.0532,0.7119,235.46,47.43,21.2,3.7,24.6,242.92,156,157,0.0835,0.8425,211,235,37.7,0.0356,0.5448,37.7,0.0354,0.5411,399,220,231,26423
2019.6.16,198,31,40,0.0532,0.7119,236.78,0,15.7,3.9,21.54,191.78,167,170,0.0835,0.8425,198,210,37.3,0.0356,0.5448,37.3,0.0354,0.5411,395,197,200,27044
2019.6.17,376,65,75,0.0532,0.7119,187.31,0,19.75,3.4,22.73,217.31,156,156,0.0835,0.8425,221,231,37,0.0356,0.5448,37,0.0354,0.5411,375,176,167,26115
2019.6.18,20,2,10,0.0507,0.6641,176.44,0,17.1,2.1,19.31,191.44,142,154,0.0835,0.8425,144,164,36.6,0.0357,0.4469,36.6,0.0354,0.5411,371,173,136,24544
2019.6.19,9,0,0,0.0507,0.6641,214.22,0,18.9,3,25.19,224.22,147,147,0.0906,0.8687,147,147,37.1,0.0357,0.4469,37.3,0.0357,0.4766,397,103,262,24846
2019.6.20,168,24,18,0.0507,0.6641,187.26,0,20.2,3,21.83,212.26,127,125,0.0906,0.8687,151,143,38.4,0.0357,0.4469,38.5,0.0357,0.4766,354,259,110,22680
2019.6.21,207,55,57,0.0507,0.6641,0,0,0,0,0,0,115,119,0.0906,0.8687,170,176,39.6,0.0357,0.4469,39.6,0.0357,0.4766,513,220,192,23351
2019.6.22,367,66,84,0.0507,0.6641,274.42,45.21,23,3.9,31.93,264.63,133,124,0.0906,0.8687,199,208,40,0.0357,0.4469,39.9,0.0357,0.4766,589,190,261,24005
2019.6.23,517,91,90,0.0507,0.6641,204.82,0,21.6,5.1,21.61,259.82,163,164,0.0906,0.8687,254,254,39.6,0.0357,0.4469,39.6,0.0357,0.4766,636,285,237,28838
2019.6.24,625,115,110,0.0685,0.6737,178.5,0,16.5,3.4,24.06,178.5,151,153,0.0878,0.8744,266,263,38.9,0.0364,0.4819,39.1,0.0336,0.5691,683,308,292,28007
2019.6.25,789,71,104,0.0685,0.6737,125.57,0,10.5,2.4,20.67,125.57,151,152,0.0878,0.8744,222,256,38.5,0.0364,0.4819,38.6,0.0336,0.5691,411,265,137,26980
2019.6.26,688,60,60,0.0763,0.7161,183.83,0,9.8,3,17.81,178.83,172,172,0.0828,0.8423,232,232,37.8,0.0364,0.4819,37.8,0.0336,0.5691,445,155,218,27204
2019.6.27,604,67,74,0.0763,0.7161,171.71,0,10.2,2.2,14.53,151.71,148,180,0.0828,0.8423,215,254,37,0.0364,0.4819,37,0.0336,0.5691,494,176,224,26247
2019.6.28,117,42,23,0.0763,0.7161,0,0,0,0,0,0,142,142,0.0828,0.8423,184,165,36.8,0.0364,0.4819,36.7,0.0336,0.5691,571,239,267,22880
2019.6.29,355,32,53,0.0763,0.7161,287.77,45.46,13.8,4.1,15.38,263.23,133,149,0.0828,0.8423,165,202,36.5,0.0364,0.4819,36.5,0.0336,0.5691,549,273,212,19747
2019.6.30,802,64,81,0.0763,0.7161,221.04,0,14.4,3.93,21.22,221.04,141,142,0.0828,0.8423,205,223,37.3,0.0364,0.4819,37.2,0.0336,0.5691,548,207,267,20127
2019.7.1,532,118,109,0.0754,0.7258,184.09,0,7.45,2.8,15.65,154.09,138,155,0.0820,0.8675,256,264,37.9,0.0360,0.5066,37.8,0.0345,0.5409,538,266,235,23909
2019.7.2,465,115,112,0.0754,0.7258,194.34,0,9.8,2.7,14,184.34,118,134,0.0871,0.8615,233,246,38,0.0360,0.5066,37.7,0.0345,0.5409,511,211,248,24260
2019.7.3,503,108,107,0.0754,0.7258,173.11,0,9.4,2.8,10.96,153.11,110,140,0.0871,0.8615,218,247,37.3,0.0360,0.5066,37,0.0345,0.5409,546,271,218,23709
2019.7.4,384,92,79,0.0754,0.7258,164.95,0,7.9,1.7,14.7,124.95,107,112,0.0871,0.8615,199,191,37.5,0.0360,0.5066,37.3,0.0345,0.5409,537,230,163,22329
2019.7.5,367,76,81,0.0754,0.7258,0,0,7.4,2,0,110,79,100,0.0871,0.8615,155,181,38.3,0.0360,0.5066,38.2,0.0345,0.5409,529,214,264,18855
2019.7.6,472,106,97,0.0754,0.7258,202.42,39.04,10.5,2.6,20.98,151.46,134,128,0.0871,0.8615,240,225,39.3,0.0360,0.5066,39.1,0.0345,0.5409,559,214,260,23251
2019.7.7,415,81,112,0.0754,0.7258,127.88,0,11.4,2.8,14.15,157.88,138,130,0.0871,0.8615,219,242,39.6,0.0360,0.5066,39.4,0.0345,0.5409,349,233,122,26416
2019.7.8,162,26,15,0.0763,0.7161,122.98,0,9.9,2.7,14.68,142.98,119,133,0.0937,0.8805,145,148,39.1,0.0358,0.5622,38.8,0.0345,0.5409,317,170,160,25095
2019.7.9,261,55,51,0.0763,0.7161,117.61,0,12.55,2.98,14.88,167.61,136,146,0.0937,0.8805,191,197,38.3,0.0358,0.5622,38.1,0.0361,0.5630,387,232,215,24849
2019.7.10,346,69,96,0.0763,0.7161,223.92,0,10.9,2.4,16.63,153.92,156,162,0.0937,0.8805,225,258,37.9,0.0358,0.5622,37.5,0.0361,0.5630,481,205,252,25640
2019.7.11,205,59,44,0.0763,0.7161,158.36,0,10.9,2.3,14.86,148.36,180,180,0.0937,0.8805,239,224,37.2,0.0358,0.5622,36.8,0.0361,0.5630,342,255,156,25619
